City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
236,Alice Springs,AU,-23.7,133.8833,78.8,38,75,8.05,broken clouds
237,Nikolskoye,RU,59.7035,30.7861,21.2,79,90,13.42,light snow
238,Hambantota,LK,6.1241,81.1185,78.33,83,87,11.41,overcast clouds
239,Ponta Pora,BR,-22.5361,-55.7256,69.1,79,11,2.06,few clouds
240,Manakara,MG,-22.1333,48.0167,73.49,88,10,7.36,clear sky
241,Hasaki,JP,35.7333,140.8333,43.0,93,75,11.5,broken clouds
242,Lundazi,ZM,-12.2929,33.1782,63.43,94,100,4.97,overcast clouds
243,Quelimane,MZ,-17.8786,36.8883,82.4,69,20,5.75,few clouds
244,Chadan,RU,51.2833,91.5833,6.1,87,88,1.48,overcast clouds
245,Kavaratti,IN,10.5669,72.642,81.55,72,0,7.56,clear sky
246,Udachnyy,RU,66.4167,112.4,1.98,92,100,3.2,overcast clouds
247,Tual,ID,-5.6667,132.75,82.81,76,90,12.1,overcast clouds
248,Casa Grande,US,32.8795,-111.7573,87.01,10,20,4.61,few clouds
249,Morondava,MG,-20.2833,44.2833,76.78,81,1,4.7,clear sky
250,Buta,CD,2.7858,24.73,69.96,96,90,0.94,overcast clouds
251,Benjamin Hill,MX,30.1667,-111.1,86.0,14,32,10.0,scattered clouds
252,Porto Novo,BJ,6.4965,2.6036,82.27,80,90,11.27,overcast clouds
253,Chuy,UY,-33.6971,-53.4616,68.94,86,20,7.63,few clouds
254,Tabou,CI,4.423,-7.3528,78.64,88,26,7.05,scattered clouds
255,Tilichiki,RU,60.4667,166.1,-18.0,82,93,12.44,overcast clouds
256,Teya,RU,60.3778,92.6267,7.56,92,69,6.8,broken clouds
257,Kohlu,PK,29.8962,69.252,54.16,32,0,4.03,clear sky
258,Lompoc,US,34.6391,-120.4579,59.0,62,75,8.05,broken clouds
259,Vanavara,RU,60.34,102.2797,17.06,96,100,9.93,overcast clouds
260,Cidreira,BR,-30.1811,-50.2056,72.43,74,0,8.84,clear sky
261,Sochi,RU,43.6,39.7303,33.8,75,40,7.07,scattered clouds
262,Lata,PT,40.1629,-8.3327,54.0,90,32,1.01,scattered clouds
263,Ribeira Grande,PT,38.5167,-28.7,61.9,94,99,10.29,overcast clouds
264,Sakakah,SA,29.9697,40.2064,62.6,25,0,5.75,clear sky
265,Patacamaya,BO,-17.2333,-67.9167,51.3,64,21,9.17,few clouds
266,Progreso,MX,21.2833,-89.6667,81.0,50,40,8.05,scattered clouds
267,Katherine,AU,-14.4667,132.2667,77.0,83,40,3.44,scattered clouds
268,Auxerre,FR,47.8,3.5667,37.99,70,0,4.27,clear sky
269,Sandane,NO,61.7728,6.215,30.99,86,0,6.91,clear sky
270,Ust-Kulom,RU,61.6864,53.6902,-5.84,92,97,4.45,overcast clouds
271,Marzuq,YE,14.4,46.4667,59.5,34,54,4.92,broken clouds
272,Port Macquarie,AU,-31.4333,152.9167,75.99,76,47,7.14,scattered clouds
273,Pangnirtung,CA,66.1451,-65.7125,-3.03,81,11,1.63,few clouds
274,Road Town,VG,18.4167,-64.6167,78.8,78,40,8.05,scattered clouds
275,Tres Arroyos,AR,-38.3739,-60.2798,68.86,83,65,4.27,broken clouds
276,Shimoda,JP,34.6667,138.95,39.99,93,99,11.41,moderate rain
277,Leningradskiy,RU,69.3833,178.4167,-12.66,87,100,4.47,overcast clouds
278,Kanlagay,PH,5.8757,121.2915,79.39,78,86,1.68,overcast clouds
279,Svetlaya,RU,46.5389,138.3297,16.66,84,0,7.43,clear sky
280,Nizhniy Tsasuchey,RU,50.5167,115.1333,9.57,93,49,3.29,scattered clouds
281,Nangong,CN,37.3581,115.3744,36.63,74,40,4.76,scattered clouds
282,Alghero,IT,40.5589,8.3181,55.4,94,90,2.3,mist
283,Sabang,ID,5.8933,95.3214,81.81,77,63,9.35,broken clouds
284,Truro,GB,50.2653,-5.0544,39.0,69,75,5.75,broken clouds
285,Kolyshley,RU,52.7005,44.5367,30.99,88,100,21.41,light snow
286,Tiksi,RU,71.6872,128.8694,-16.53,87,100,4.32,overcast clouds
287,Solano,US,38.2333,-121.9511,69.8,26,1,6.42,clear sky
288,Kapit,MY,2.0167,112.9333,73.02,95,100,0.6,light rain
289,Xiongzhou,CN,25.1167,114.3,52.21,84,69,3.02,broken clouds
290,Mount Isa,AU,-20.7333,139.5,82.4,61,54,14.97,broken clouds
291,Sholapur,IN,17.6833,75.9167,73.8,26,0,8.3,clear sky
292,Bethanien,NA,-26.502,17.1583,71.92,26,0,5.99,clear sky
293,Hirtshals,DK,57.5881,9.9592,32.0,69,14,3.44,few clouds
294,Wuchang,CN,44.9143,127.15,14.95,90,0,5.91,clear sky
295,Flagstaff,US,35.1981,-111.6513,59.0,24,1,13.8,clear sky
296,Saint-Pierre,RE,-21.3393,55.4781,77.0,88,48,5.75,scattered clouds
297,Lebedyan,RU,53.0194,39.1664,20.86,93,80,11.68,broken clouds
298,Abbeville,FR,50.1,1.8333,32.0,83,0,4.61,clear sky
299,Cockburn Town,TC,21.4612,-71.1419,78.8,78,20,4.61,few clouds
300,Atar,MR,20.5169,-13.0499,66.06,28,0,9.98,clear sky
301,Yatou,CN,37.15,122.3833,33.19,77,0,1.16,clear sky
302,Korhogo,CI,9.45,-5.6333,83.28,52,100,5.7,light rain
303,Mahibadhoo,MV,3.7833,72.9667,82.72,67,12,5.82,few clouds
304,Nyurba,RU,63.2842,118.3319,10.9,96,100,1.28,overcast clouds
305,Kuytun,RU,54.3419,101.5036,14.22,93,100,7.87,overcast clouds
306,Mvuma,ZW,-19.2792,30.5283,59.22,86,0,5.08,clear sky
307,Lorengau,PG,-2.0226,147.2712,79.68,81,100,5.39,overcast clouds
308,Cururupu,BR,-1.8283,-44.8683,74.46,96,100,2.84,overcast clouds
309,Tomatlan,MX,19.9333,-105.25,84.45,53,0,7.38,clear sky
310,Rawson,AR,-43.3002,-65.1023,75.07,23,5,26.64,clear sky
311,Ayna,PE,-12.65,-73.9167,63.28,82,87,1.57,overcast clouds
312,Gat,IL,31.61,34.7642,53.01,100,0,1.45,clear sky
313,Nosy Varika,MG,-20.5833,48.5333,74.68,90,43,8.79,scattered clouds
314,Weligama,LK,5.9667,80.4167,76.03,87,83,7.05,broken clouds
315,Virtsu,EE,58.5716,23.5115,25.0,62,74,10.0,broken clouds
316,Jardim,BR,-21.4803,-56.1381,74.03,83,31,1.9,scattered clouds
317,Tagusao,PH,9.1924,117.8141,77.31,73,100,4.47,overcast clouds
318,Lazaro Cardenas,MX,17.9583,-102.2,82.0,63,3,12.26,clear sky
319,Shitanjing,CN,39.2342,106.3439,35.92,80,96,0.69,overcast clouds
320,Victoria,HK,22.2855,114.1577,66.0,90,90,1.99,overcast clouds
321,Kutum,SD,14.2,24.6667,61.52,21,21,11.27,few clouds
322,Iraray,PH,8.9936,118.0511,76.95,77,100,5.55,overcast clouds
323,Phonhong,LA,18.5007,102.4166,71.22,67,28,0.94,scattered clouds
324,Portland,US,45.5234,-122.6762,51.01,71,75,10.36,broken clouds
325,Deputatskiy,RU,69.3,139.9,-18.69,87,100,6.06,overcast clouds
326,Maxixe,MZ,-23.8597,35.3472,71.56,80,1,3.09,clear sky
327,Chimoio,MZ,-19.1164,33.4833,69.8,100,0,5.75,clear sky
328,Magadan,RU,59.5667,150.8,-7.71,76,0,2.95,clear sky
329,Okato,NZ,-39.2,173.8833,64.0,63,96,8.01,overcast clouds
330,Seminole,US,28.7086,-81.2081,62.6,27,1,12.66,clear sky
331,Luderitz,NA,-26.6481,15.1594,65.73,66,0,15.39,clear sky
332,Roblin,CA,51.23,-101.3565,34.03,91,1,11.39,clear sky
333,Kodinsk,RU,58.6881,99.1844,12.27,94,100,10.98,overcast clouds
334,Hay River,CA,60.8156,-115.7999,15.8,67,69,12.66,broken clouds
335,Chaman,PK,30.9236,66.4512,47.82,46,0,0.65,clear sky
336,Anadyr,RU,64.75,177.4833,-5.01,71,40,10.22,scattered clouds
337,Kieta,PG,-6.2167,155.6333,80.76,76,100,1.5,overcast clouds
338,Mega,ET,4.05,38.3,61.29,39,60,12.24,broken clouds
339,Jumla,NP,29.2747,82.1838,42.53,65,89,3.76,overcast clouds
340,Yumen,CN,40.2833,97.2,31.5,80,7,9.42,clear sky
341,Probolinggo,ID,-7.7543,113.2159,75.2,94,40,4.61,haze
342,Sumenep,ID,-7.0167,113.8667,76.98,85,100,7.47,light rain
343,Pangoa,PE,-12.1167,-73.0,76.44,73,70,2.82,broken clouds
344,Bengkulu,ID,-3.8004,102.2655,74.97,81,85,6.13,light rain
345,Ndele,CF,8.4109,20.6473,75.52,20,1,4.27,clear sky
346,Yerbogachen,RU,61.2767,108.0108,13.03,94,91,11.34,overcast clouds
347,Idlib,SY,35.9306,36.6339,50.0,93,40,5.75,scattered clouds
348,Kurumkan,RU,54.3,110.3,22.39,91,96,7.9,light snow
349,Kulhudhuffushi,MV,6.6221,73.07,81.82,68,0,4.63,clear sky
350,Okhotsk,RU,59.3833,143.3,-14.48,79,0,13.47,clear sky
